customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4840-EZWNG,Male,0,No,No,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),60.97,556.56,Yes
7938-IOOZJ,Female,0,Yes,No,55,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,84.94,4672.16,Yes
8035-MSGQT,Female,1,Yes,No,10,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.89,664.8,Yes
6116-DEWGM,Male,0,Yes,No,21,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),74.54,1577.67,No
2678-KDMGS,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,95.07,3432.66,Yes
4157-BJMYU,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),95.78,5183.17,No
3693-LLTKZ,Female,0,Yes,Yes,21,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),62.32,1344.47,Yes
6592-GAAYY,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.3,1347.81,Yes
6864-CGFHI,Male,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.5,1291.88,No
5413-EASJL,Male,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.6,1555.48,Yes
1663-OVXIT,Female,0,Yes,No,60,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,77.92,4669.48,No
6232-QZTLG,Female,0,Yes,No,52,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,61.04,3179.58,No
8554-QEQXQ,Male,0,Yes,Yes,61,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),63.21,3852.73,No
1698-QBBVW,Male,1,No,Yes,10,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.18,736.36,Yes
9164-AASBU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,91.47,183.49,Yes
2707-ZFWDW,Female,0,No,No,5,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),64.31,327.37,No
1202-XQFXE,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),93.17,97.6,No
3931-BFVKP,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.04,1775.15,No
7287-AIFPC,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.1,1870.01,No
1659-DSZCS,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.94,524.66,No
3911-GTIAH,Male,1,Yes,Yes,14,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,68.54,964.4,Yes
6759-GRHAK,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.14,1281.87,No
9155-YYRWJ,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,97.4,1173.51,Yes
1262-PZPYT,Male,0,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,88.86,687.24,Yes
3049-APLEE,Female,0,Yes,No,4,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,63.12,253.54,No
8158-IICSP,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.31,35.16,Yes
3255-CTXVX,Male,0,No,No,4,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),64.53,260.77,No
2648-HDFHT,Female,0,No,Yes,28,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.77,1431.72,Yes
9445-CPYCY,Male,0,No,No,14,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),77.17,1089.52,Yes
3961-NRBVC,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,95.42,296.14,Yes
1956-IDADA,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.65,78.98,Yes
5493-UPTXH,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),35.03,1052.15,No
2218-QAPLS,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,88.22,1660.54,Yes
4446-VNFFM,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,84.56,85.4,Yes
9754-VHBUA,Male,0,No,Yes,30,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),93.73,2800.7,No
8022-AEPSD,Female,0,Yes,No,24,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),69.22,1658.64,No
5642-QQLNU,Male,0,No,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),95.88,5856.74,No
2060-XQNUC,Male,0,Yes,Yes,6,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.08,423.83,Yes
1699-ATUWA,Female,1,Yes,No,22,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),91.21,1997.03,Yes
4327-CRYJV,Female,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.8,428.94,Yes
1569-CHNXR,Male,0,No,No,33,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,77.34,2551.75,No
8455-OVWBJ,Female,0,Yes,No,48,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),74.44,3568.5,No
2409-ZQHAI,Male,0,No,No,39,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,52.34,2044.15,No
8343-GJWZC,Female,0,No,No,26,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,72.39,1885.18,Yes
2841-YXMZG,Male,1,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,89.98,1080.67,Yes
8992-DMTAH,Male,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.74,1595.7,No
7655-NPNLS,Female,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.14,1207.1,No
7614-OBBWV,Female,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.14,210.28,No
5146-YZVZZ,Female,0,No,No,21,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),60.14,1246.55,No
8509-QTJFO,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),91.53,358.77,No
3491-EAHUL,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,30.62,1889.29,No
1004-GDFMT,Female,0,No,No,5,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),79.38,395.18,Yes
5142-CWHTP,Female,1,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.72,1188.18,Yes
5465-JSQXS,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),78.96,1024.34,Yes
6177-WZEZU,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),88.12,1248.18,Yes
6949-WILUA,Female,0,No,No,10,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,59.39,597.09,Yes
2081-ZAOBV,Male,0,No,No,4,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),76.71,307.59,No
1559-YHMUA,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),88.58,5846.67,Yes
4343-GEVWC,Male,0,Yes,Yes,64,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,86.59,5523.81,Yes
4147-ZPSEV,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,91.63,182.19,Yes
3744-NEOQN,Female,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.05,4835.65,No
7617-PUGDA,Female,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.57,75.75,Yes
8421-EWZJV,Female,1,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,35.64,240.07,No
3849-TJZSZ,Male,0,Yes,No,43,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,80.37,3468.7,Yes
5611-PXPWB,Male,0,No,No,15,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,57.21,864.29,Yes
7303-TXLRC,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),62.79,433.62,No
3427-AASKE,Female,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.81,478.04,Yes
6387-CAAHJ,Male,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.85,162.5,Yes
2066-LMLNB,Male,0,No,No,59,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,90.0,5315.33,No
9945-CWQZH,Male,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,32.13,74.1,No
7748-ZJZBS,Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,82.6,657.16,Yes
9808-GDZUR,Male,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,80.45,2564.57,Yes
1412-XDYUY,Female,0,No,Yes,59,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,89.45,5249.37,Yes
9867-JEIXC,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),90.68,1982.7,Yes
2122-PDRQG,Male,0,No,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),88.91,2038.23,No
3143-XWELQ,Male,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,99.02,1592.47,Yes
4766-MWYCI,Male,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.38,334.92,No
6917-QQTPY,Female,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.22,119.61,Yes
2365-MSQDL,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),88.23,3523.43,Yes
8400-SLIGN,Female,0,No,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),89.78,3496.13,No
3782-TSZOP,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,91.56,4852.76,Yes
5980-ECLYT,Male,1,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.63,841.27,No
6588-DUWPY,Male,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.15,63.53,Yes
2062-MUJZG,Female,1,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,30.44,701.83,No
7541-ZECWK,Female,0,Yes,No,19,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),52.54,1002.2,Yes
9010-ROLIJ,Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.8,1839.11,No
1953-LQFGN,Female,0,No,No,5,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.81,461.5,Yes
2191-JIRZB,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),92.53,660.09,Yes
2540-EFSHP,Female,0,Yes,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.2,1702.12,No
2365-TQGYM,Female,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,89.96,1784.37,Yes
4141-SLVGJ,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,98.0,875.02,Yes
6977-SGCMM,Male,0,No,No,15,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),70.12,1042.58,Yes
5849-ZTHIG,Male,0,No,No,10,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.51,510.73,Yes
4072-CMYQY,Female,0,Yes,Yes,54,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,66.59,3590.57,No
1823-AFUFZ,Male,0,No,No,2,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.46,157.58,Yes
4627-MMOUP,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.37,1209.71,No
6348-DCSTY,Male,1,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.26,1264.83,Yes
7190-IQNOA,Female,0,Yes,No,19,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic check,68.05,1285.15,No
9053-CPWYK,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),88.0,2716.28,Yes
2353-PHFLX,Female,0,Yes,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.79,915.64,No
1667-UHZDZ,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,78.07,300.4,Yes
4719-ZREID,Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.54,975.59,No
4775-VQIAU,Male,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.4,1574.1,No
8891-MPMNC,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.2,104.62,Yes
4324-FRSEO,Female,0,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.53,1954.16,No
1009-XRMEW,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,80.95,5110.77,Yes
2015-AVARO,Female,0,No,No,14,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,71.6,992.06,Yes
8449-YVQMA,Male,0,No,Yes,68,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.34,5948.38,Yes
2633-ICAUP,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.0,1795.93,No
3000-EEFCU,Female,1,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,101.63,4961.29,No
8190-EUEJJ,Female,0,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.82,935.97,No
5178-QUNIN,Male,1,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.96,1022.65,No
3048-SMMDA,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),35.69,656.75,No
5976-HBHGZ,Male,0,No,No,38,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,57.2,2185.85,Yes
1249-BVVCR,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.15,70.81,No
5363-AVLEY,Male,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.75,2120.98,No
7544-POWOE,Female,0,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,32.5,606.32,No
7996-NBKSG,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,95.66,2603.87,Yes
7881-FRBRO,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.66,145.97,No
8002-SBTYF,Female,0,Yes,No,41,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,45.31,1866.91,No
8648-XOWJS,Female,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.79,461.89,No
3180-DJXQJ,Male,1,Yes,No,3,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),66.83,209.8,No
3832-TXEBF,Male,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,34.05,2382.52,No
6569-MKKPK,Male,1,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.64,1694.29,No
2906-OYWWP,Male,0,Yes,Yes,18,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,68.78,1246.11,No
7238-KVPHD,Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),33.01,252.67,No
9472-CCRZS,Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),30.57,1991.5,No
8570-UERJV,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.64,117.31,Yes
7981-AEILZ,Male,0,No,No,18,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,74.2,1342.81,Yes
3593-QNZMI,Male,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,99.73,1985.15,Yes
7937-YOYVO,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,91.42,820.19,No
7493-KPQZD,Male,0,Yes,Yes,6,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),62.58,378.53,Yes
2276-TOOXV,Female,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,80.69,4435.97,No
9717-ZWNXB,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.02,1586.79,Yes
1364-ZNXSG,Female,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,31.18,1838.34,No
6122-OWNKO,Female,0,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),91.38,2732.21,Yes
2531-MRZFC,Male,1,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,61.79,307.81,Yes
2906-OYWEJ,Male,0,Yes,No,40,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,62.35,2478.76,No
2062-YQGVZ,Female,0,Yes,Yes,12,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,62.18,747.12,Yes
1125-LYQMT,Male,0,No,Yes,5,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,97.46,478.05,Yes
7168-DJCIM,Male,0,No,No,48,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),89.22,4274.26,No
7371-OVBOH,Male,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.87,1449.21,No
7891-SJIEF,Female,0,Yes,No,20,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,73.69,1455.66,No
3739-ZBXMF,Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),93.82,1497.89,No
4812-YAUVU,Female,0,No,No,3,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),65.34,208.53,Yes
2733-FWPDK,Female,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,97.01,3093.54,Yes
4517-XWIWC,Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),78.35,1801.59,Yes
